Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
APDN,Applied DNA Sciences Inc,2.4,$57.79M,n/a,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.7806,n/a,n/a,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,9.6,$173.46M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",30.73,$33.22B,1972,Technology,Semiconductors
AMCC,Applied Micro Circuits Corporation,7.25,$626.79M,1997,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",26.15,$449.73M,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,2.96,$123.16M,2007,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",17.85,$683.87M,2016,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",2.02,$15.62M,n/a,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,1.94,$39.28M,n/a,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",0.92,$11.99M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",11.33,$176.51M,2015,Basic Industries,Metal Fabrications
AQXP,"Aquinox Pharmaceuticals, Inc.",14.655,$343.27M,2014,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,5.07,$75.8M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,5.17,$330.67M,n/a,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",7.42,$274.87M,2013,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,2.75,$150.81M,n/a,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",4.2,$78.94M,n/a,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",2.35,$21.34M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",1.25,$55.6M,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,28.2,$722.55M,n/a,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,80.6,$9.89B,n/a,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,21.92,n/a,n/a,Finance,Property-Casualty Insurers
APLP,"Archrock Partners, L.P.",16.12,$967.78M,n/a,Public Utilities,Natural Gas Distribution
ACAT,Arctic Cat Inc.,14.94,$194.93M,1990,Capital Goods,Industrial Specialties
ARDX,"Ardelyx, Inc.",15.4,$728.45M,2014,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",1.57,$382M,2000,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,15.64,$4.91B,2004,n/a,n/a
AGII,"Argo Group International Holdings, Ltd.",65.9,$1.97B,n/a,Finance,Specialty Insurers
AGIIL,"Argo Group International Holdings, Ltd.",25.14,n/a,n/a,Finance,Specialty Insurers
ARGS,"Argos Therapeutics, Inc.",4.95,$204.17M,2014,Health Care,Major Pharmaceuticals
ARIS,"ARI Network Services, Inc.",5.24,$91.42M,1991,Technology,"Computer Software: Programming, Data Processing"
ARIA,"ARIAD Pharmaceuticals, Inc.",13.89,$2.7B,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,21.6,$73.94M,n/a,Consumer Services,Restaurants
ARTX,Arotech Corporation,3.35,$88.57M,1994,Miscellaneous,Industrial Machinery/Components
ARWA,Arowana Inc.,10.25,$111.3M,2015,Finance,Business Services
ARWAR,Arowana Inc.,0.45,n/a,2015,Finance,Business Services
ARWAU,Arowana Inc.,13.43,n/a,2015,Finance,Business Services
ARWAW,Arowana Inc.,0.2599,n/a,2015,Finance,Business Services
ARQL,"ArQule, Inc.",1.38,$98.14M,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,7.32,$1.23B,2000,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,29.29,$5.56B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,Arrow DWA Tactical ETF,10.12,$9.11M,n/a,n/a,n/a
AROW,Arrow Financial Corporation,37.4,$503.68M,n/a,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",4.51,$273.98M,n/a,Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation,31.65,$288.5M,n/a,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.9795,$12.24M,n/a,Capital Goods,Industrial Machinery/Components
PUMP,"Asante Solutions, Inc.",n/a,n/a,n/a,n/a,n/a
ASBB,"ASB Bancorp, Inc.",27.45,$103.96M,2011,Finance,Savings Institutions
ASNA,"Ascena Retail Group, Inc.",6.39,$1.24B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,20.12,$505.58M,2015,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",19.97,$246.06M,n/a,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,2.25,$31.09M,n/a,Basic Industries,Telecommunications Equipment
ASML,ASML Holding N.V.,102.56,$43.47B,1995,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",51.83,$4B,1994,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",12.82,$220.83M,n/a,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",9,$106.62M,1995,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",65.7,$1.51B,1986,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,35.06,$1.17B,n/a,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",13.75,$102.65M,1983,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,1.61,$34.1M,n/a,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,8.46,$55.38M,n/a,Technology,EDP Services
ATAI,ATA Inc.,4.12,$94.46M,2008,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",18.35,$529.59M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",105.41,$4.16B,2007,Miscellaneous,Business Services
ATHX,"Athersys, Inc.",1.67,$142.78M,n/a,Health Care,Major Pharmaceuticals
AAPC,Atlantic Alliance Partnership Corp.,10.0101,$103.98M,2015,Consumer Services,Services-Misc. Amusement & Recreation
AAME,Atlantic American Corporation,3.85,$78.6M,n/a,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",15.8,$395.32M,n/a,Finance,Major Banks
ACFC,Atlantic Coast Financial Corporation,6.85,$106.24M,n/a,Finance,Savings Institutions
ABY,Atlantica Yield plc,17.9,$1.79B,2014,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,3.1132,$47.86M,1995,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,50.45,$1.26B,n/a,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",17.55,$211.01M,2013,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,29.36,$6.46B,2015,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",69.21,$1.12B,n/a,Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,7.2,$86.58M,2016,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,1.75,$6.63M,2012,Health Care,Medical/Dental Instruments
ATRC,"AtriCure, Inc.",19.31,$641.86M,2005,Health Care,Medical/Dental Instruments
